Country Code,Short Name,Table Name,Long Name,Currency Unit,Region,National accounts base year,System of National Accounts
MAC,"Macao SAR, China","Macao SAR, China",Macao Special Administrative Region of the People's Republic of China,Macao pataca,East Asia & Pacific,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
MAR,Morocco,Morocco,Kingdom of Morocco,Moroccan dirham,Middle East & North Africa,2007,Country uses the 2008 System of National Accounts methodology
MDA,Moldova,Moldova,Republic of Moldova,Moldovan leu,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
MDG,Madagascar,Madagascar,Republic of Madagascar,Malagasy ariary,Sub-Saharan Africa,2007,Country uses the 1993 System of National Accounts methodology
MDV,Maldives,Maldives,Republic of Maldives,Maldivian rufiyaa,South Asia,2014,Country uses the 1993 System of National Accounts methodology
MEX,Mexico,Mexico,United Mexican States,Mexican peso,Latin America & Caribbean,2013,Country uses the 2008 System of National Accounts methodology
MHL,Marshall Islands,Marshall Islands,Republic of the Marshall Islands,U.S. dollar,East Asia & Pacific,2014/15,Country uses the 1993 System of National Accounts methodology
MKD,North Macedonia,North Macedonia,Republic of North Macedonia,Macedonian denar,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 1993 System of National Accounts methodology
MLI,Mali,Mali,Republic of Mali,West African CFA franc,Sub-Saharan Africa,1999,Country uses the 1993 System of National Accounts methodology
MLT,Malta,Malta,Republic of Malta,Euro,Middle East & North Africa,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
MMR,Myanmar,Myanmar,Republic of the Union of Myanmar,Myanmar kyat,East Asia & Pacific,2016,Country uses the 2008 System of National Accounts methodology
MNE,Montenegro,Montenegro,Montenegro,Euro,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
MNG,Mongolia,Mongolia,Mongolia,Mongolian tugrik,East Asia & Pacific,2015,Country uses the 2008 System of National Accounts methodology
MOZ,Mozambique,Mozambique,Republic of Mozambique,New Mozambican metical,Sub-Saharan Africa,2014,Country uses the 2008 System of National Accounts methodology
MRT,Mauritania,Mauritania,Islamic Republic of Mauritania,Mauritanian ouguiya,Sub-Saharan Africa,2014,Country uses the 2008 System of National Accounts methodology
MUS,Mauritius,Mauritius,Republic of Mauritius,Mauritian rupee,Sub-Saharan Africa,2006,Country uses the 2008 System of National Accounts methodology
MWI,Malawi,Malawi,Republic of Malawi,Malawi kwacha,Sub-Saharan Africa,2017,Country uses the 2008 System of National Accounts methodology
MYS,Malaysia,Malaysia,Malaysia,Malaysian ringgit,East Asia & Pacific,2015,Country uses the 2008 System of National Accounts methodology
NAM,Namibia,Namibia,Republic of Namibia,Namibian dollar,Sub-Saharan Africa,2015,Country uses the 2008 System of National Accounts methodology
NER,Niger,Niger,Republic of Niger,West African CFA franc,Sub-Saharan Africa,2015,Country uses the 2008 System of National Accounts methodology
NGA,Nigeria,Nigeria,Federal Republic of Nigeria,Nigerian naira,Sub-Saharan Africa,2010,Country uses the 2008 System of National Accounts methodology
